OID,STATE_NAME,WHITE,BLACK,AMERI_ES,ASIAN,HAW_PI,OTHER,HISPANIC
0,Florida,14109162,2999862,71458,454821,12286,681144,4223806
1,Texas,17701552,2979598,170972,964596,21656,2628186,9460921
2,North Carolina,6528950,2048628,122110,208962,6604,414030,800120
3,New York,12740974,3073800,106906,1420244,8766,1441563,3416922
4,Pennsylvania,10406288,1377689,26843,349088,3653,300983,719660
5,Illinois,9177877,1866414,43963,586934,4050,861412,2027578
6,Georgia,5787440,2950435,32151,314467,6799,388872,853689
7,California,21453934,2299072,362801,4861007,144386,6317372,14013719
8,Ohio,9539437,1407681,25292,192233,4066,130030,354674
9,Michigan,7803120,1400362,62007,238199,2604,147029,436358